DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
Journal Article,Improving with practice: A neural model of mathematical development.,"The ability to improve in speed and accuracy as a result of repeating some task is an important hallmark of intelligent biological systems. Although gradual behavioral improvements from practice have been modeled in spiking neural networks, few such models have attempted to explain cognitive development of a task as complex as addition. In this work, we model the progression from a counting-based strategy for addition to a recall-based strategy. The model consists of two networks working in parallel: a slower basal ganglia loop and a faster cortical network. The slow network methodically computes the count from one digit given another, corresponding to the addition of two digits, whereas the fast network gradually “memorizes” the output from the slow network. The faster network eventually learns how to add the same digits that initially drove the behavior of the slower network. Performance of this model is demonstrated by simulating a fully spiking neural network that includes basal ganglia, thalamus, and various cortical areas. Consequently, the model incorporates various neuroanatomical data, in terms of brain areas used for calculation and makes psychologically testable predictions related to frequency of rehearsal. Furthermore, the model replicates developmental progression through addition strategies in terms of reaction times and accuracy, and naturally explains observed symptoms of dyscalculia. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Aubin, Sean;Voelker, Aaron R.;Eliasmith, Chris",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,9,1,6,20,,,*Cognitive Ability;  *Human Development;  *Neural Networks;  *Semantics;  *Engineering; Acalculia; Mathematical Ability; Neuroanatomy,28019687,2016-61993-001,"Aubin, Sean: Centre for Theoretical Neuroscience, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, saubin@uwaterloo.ca",1756-8765(Electronic);1756-8757(Print),,http://dx.doi.org/10.1111/tops.12242
Journal Article,Nicotine metabolite ratio (NMR) prospectively predicts smoking relapse: Longitudinal findings from ITC surveys in five countries.,"Introduction: The ratio of trans 3’-hydroxycotinine (3HC) to cotinine (nicotine metabolite ratio [NMR]) is a biomarker of the rate of nicotine metabolism, with higher NMR indicating faster metabolism. Higher NMR has been found to be associated with higher daily cigarette consumption and less success stopping smoking in cessation trials. This study examines differences in NMR among population-based samples of smokers in the five countries and explores the relationship between NMR and smoking abstinence. Methods: Participants (N = 874) provided saliva samples during International Tobacco Control (ITC) surveys in the United States, United Kingdom, Mauritius, Mexico, and Thailand conducted in 2010/2011 with follow-up surveys in 2012/2013. When all samples were received, they were sent to a common laboratory for analysis using liquid chromatography and tandem mass spectroscopy. Results: There was significant variation in NMR across countries (F = 15.49, p F = 8.93; p = .003). Higher mean NMR values were also associated with longer quit duration (p = .007). There was no substantial difference in NMR between current smokers who made a failed quit attempt and those who made no attempt—both had significantly lower NMR compared to those who quit and remained abstinent. Smokers with a higher NMR were more likely to report that they stopped smoking compared to those with a lower NMR (odds ratio = 2.67; 95% confidence interval: 1.25 to 5.68). Conclusions: These results suggest faster nicotine metabolizers may be less likely to relapse following a quit attempt. This finding differs from results of clinical trials testing stop smoking medications, where slower metabolizers have been found to be more likely to maintain abstinence from smoking. Implications: Results of this study suggest faster nicotine metabolizers may be less likely to relapse following a quit attempt. This finding differs from results of clinical trials testing stop smoking medications, where slower metabolizers have been found to be more likely to maintain abstinence from smoking. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Fix, Brian V.;O'Connor, Richard J.;Benowitz, Neal;Heckman, Bryan W.;Cummings, K. Michael;Fong, Geoffrey T.;Thrasher, James F.",,,,Oxford University Press,2017,,United Kingdom,19,9,1040,1047,,,*Metabolic Rates;  *Nicotine;  *Relapse (Disorders); Tobacco Smoking,28387850,2018-02543-010,"Fix, Brian V.: Department of Health Behavior, Roswell Park Cancer Institute, Buffalo, ESX, US, 14263, brian.fix@roswellpark.org",1469-994X(Electronic);1462-2203(Print),,http://dx.doi.org/10.1093/ntr/ntx083
Journal Article,Employee age alters the effects of justice on emotional exhaustion and organizational deviance.,"Fairness in the workplace attenuates a host of negative individual and organizational outcomes. However, research on the psychology of aging challenges the assumption that fairness operates similarly across different age groups. The current research explored how older workers, vis-à-vis younger workers, react to perceptions of fairness. Integrating socioemotional selectivity theory and the multiple needs theory of organizational justice, we generated novel predictions regarding the relations between perceptions of workplace justice, emotional exhaustion, and employee deviance. Specifically, we hypothesized and found that employee age moderates the negative relation between justice facets and deviance (Study 1) and emotional exhaustion (Study 2). We also found that emotional exhaustion mediates the differential effects of justice on deviance, and that this relation depends on employee age (Study 2). Relative to younger workers, older workers are more sensitive to informational and interpersonal justice; in contrast, relative to older workers, younger workers are more sensitive to distributive and procedural justice. The research supports and extends existing theory on organizational justice and on the psychology of aging. Moreover, it highlights the importance of considering employee age as a focal variable of interest in the study of justice processes, and in organizational research more generally. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Brienza, Justin P.;Bobocel, D. Ramona",,,,Frontiers Media S.A.,2017,,Switzerland,8,,,,,,*Age Differences;  *Employee Characteristics;  *Fatigue;  *Justice;  *Fairness; Aging; Emotions; Organizations; Personnel; Psychological Needs,28428764,2017-16107-001,"Brienza, Justin P.: jbrienza@uwaterloo.ca",1664-1078(Electronic),,
Journal,"Neighborhood structural differences and women’s mental health: An empirical study in accra, ghana.","Purpose: This study explores the relationships between neighborhood structural differences such as socioeconomic status (SES), income inequality, and ethnic diversity on women’s mental health in Accra, Ghana.Methods: The study used secondary data from the 2009 Women Health Survey Accra II, linked with the 2010 sub-metro level census figures on income inequality. The analytical sample consists of 2814 women nested within 195 enumeration areas (clusters) in the Accra Metropolitan Area (AMA). Multilevel binary logit and complimentary log–log models were used to analyze the data.Results: Results suggest that social capital and neighborhood socioeconomic structural factors such SES, ethnic diversity, and housing ownership were associated with depressive symptoms, feeling downhearted, and self-reported health.Conclusions: These findings suggest that policies and programs that improve the physical and economic conditions of deprived neighborhoods, as well as civic initiatives that improve social capital and cohesion, may be important for promoting collective actions and improving health outcomes in urban settings like Accra. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Bisung, Elijah;Kangmennaang, Joseph;Luginaah, Isaac",,,"Quality of Life Research: An International Journal of Quality of Life Aspects of Treatment, Care & Rehabilitation",Springer,2017,,Germany,,,No Pagination Specified,No Pagination Specified,,,,29119453,2017-50841-001,"Bisung, Elijah: School of Kinesiology and Health Studies, Queen’s University, 28 Division St, Kingston, Canada, K7L 3N6, eb120@queensu.ca",1573-2649(Electronic);0962-9343(Print),,http://dx.doi.org/10.1007/s11136-017-1731-1
Journal Article,Cognitive and behavioural predictors of adolescents' communicative perspective-taking and social relationships.,"Given the pivotal role that social interactions play for adolescents' well-being, understanding the factors that influence communication is key. The present study examined relations between adolescents' communicative perspective-taking, executive function skills, and ADHD traits and explored the role communicative perspective-taking plays in peer relations. Data was collected from a community sample of 15 to 19-years-olds (N = 46) in Waterloo, Canada. Two communicative perspective-taking tasks required participants to infer speakers' communicative intentions. A battery of tasks assessed adolescents' working memory and inhibitory control. Elevated ADHD traits were associated with weaker working memory, inhibitory control, and communicative perspective-taking. Working memory was the strongest predictor of communicative perspective-taking. Highlighting the importance of communicative perspective-taking for social interactions, adolescents with weaker skills in this area reported worse peer relations. Findings underscore the importance of communicative perspective-taking for adolescents' social relations and have relevance for understanding the social difficulties faced by adolescents with elevated ADHD traits. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Nilsen, Elizabeth S.;Bacso, Sarah A.",,,,Elsevier Science,2017,,Netherlands,56,,52,63,,,*Attention Deficit Disorder with Hyperactivity;  *Cognitive Ability;  *Role Taking; Short Term Memory,28157666,2017-12574-006,"Nilsen, Elizabeth S.: Centre for Mental Health Research, Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, enilsen@uwaterloo.ca",1095-9254(Electronic);0140-1971(Print),,http://dx.doi.org/10.1016/j.adolescence.2017.01.004
Journal Article,Upper extremity muscle activity during in-phase and anti-phase continuous pushing tasks.,"Objective: To determine the effect of anti-phase, in-phase bimanual and unimanual simulated industrial pushing tasks and frequency on upper extremity muscle activity. Background: Research investigating symmetrical (in-phase) and asymmetrical (anti-phase) pushing exertions is limited despite a high prevalence in industry. Methods: Fifteen female participants completed five pushing tasks using a dual handle apparatus at three frequencies: 15 cycles per minute (cpm), 30 cpm, and self-selected. Tasks included two bimanual symmetrical pushes (constrained and unconstrained), two bimanual asymmetrical pushes (reciprocating and continuous), and one right unimanual push. Surface electromyography (EMG) from the right anterior, middle, and posterior deltoid (AD, MD, and PD); right and left trapezius (RT and LT); right pectoralis major (PM); and right and left external obliques (REO and LEO) was collected and normalized to maximum voluntary effort. Results: There was a task by frequency interaction in the AD, MD, PD, and RT (p < .005), where activity in AD, MD, and PD was highest in the continuous task at 15 cpm, but activity was similar across task in 30 cpm and self-selected. Muscle activity coefficient of variation was lowest during continuous task across all frequencies. Conclusion: Continuous, anti-phase pushes and constrained, in-phase pushes had the highest muscle activity demands and the least amount of variability in muscle activity and therefore may present the greatest risk of injury. Application: Anti-phase pushing is known to have a greater cognitive demand, and this study demonstrated that it also has a greater physical demand when performed continuously. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Gruevski, Kristina M.;Hodder, Joanne N.;Keir, Peter J.",,,,Sage Publications,2017,,US,59,7,1066,1077,,,*Electromyography;  *Human Factors Engineering; Muscles,28605604,2017-45573-003,"Keir, Peter J.: Department of Kinesiology, Faculty of Science, McMaster University, Hamilton, ON, Canada, L8S 4K1, pjkeir@mcmaster.ca",1547-8181(Electronic);0018-7208(Print),,http://dx.doi.org/10.1177/0018720817714367
Journal Article,Whose family fits? Categorization and evaluation of same-sex and cross-race-parent families.,"As family structures diversify, attitudes towards “nontraditional” families (e.g., same-sex-parent and cross-race families) appear to be becoming more favorable. Despite more favorable attitudes, we propose that explicitly and implicitly people view nontraditional families as less family-like than traditional (i.e., heterosexual, same-race) families. We also propose that people will hold the behavior of nontraditional (vs. traditional) families to higher standards. In Study 1, participants explicitly rated nontraditional (vs. traditional) family photos as less family-like and as less loving. In Study 2, using a reaction-time measure, participants took longer to correctly categorize nontraditional (vs. traditional) families into the family category, suggesting that at an implicit level people have greater difficulty recognizing nontraditional families as “family.” In Studies 3 and 4, ambiguous (i.e., positive and negative) behavior licensed more harsh evaluations of a nontraditional family—but did not affect evaluations of a traditional family—relative to learning only positive family behavior. Despite survey data that suggest that people’s views of nontraditional families are becoming more favorable, our evidence indicates that people nonetheless harbor prejudice against certain family structures. Beyond documenting two biases against nontraditional families, this work highlights the need for prejudice researchers to examine meaningful levels of social identity, such as family units, that are intermediate between individuals and broad social classes. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Kille, David R.;Tse, Crystal T.",,,,Sage Publications,2017,,US,20,1,109,124,,,*Marriage;  *Marriage Rites;  *Prejudice; Social Perception,,2016-61027-006,"Kille, David R.: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, dkille@uwaterloo.ca",1461-7188(Electronic);1368-4302(Print),,http://dx.doi.org/10.1177/1368430215595106
Journal Article,"Intentionality and meta-awareness of mind wandering: Are they one and the same, or distinct dimensions?","Researchers have recently demonstrated that mind-wandering episodes can vary on numerous dimensions, and it has been suggested that assessing these dimensions will play an important role in our understanding of mind wandering. One dimension that has received considerable attention in recent work is the intentionality of mind wandering. Although it has been claimed that indexing the intentionality of mind wandering will be necessary if researchers are to obtain a coherent understanding of the wandering mind, one concern is that this dimension might be redundant with another, longstanding, dimension: namely, meta-awareness. Thus, the utility of the argument for assessing intentionality rests upon a demonstration that this dimension is distinct from the meta-awareness dimension. To shed light on this issue, across two studies we compared and contrasted these dimensions to determine whether they are redundant or distinct. In both studies, we found support for the view that these dimensions are distinct. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Seli, Paul;Ralph, Brandon C. W.;Risko, Evan F.;Schooler, Jonathan;Schacter, Daniel L.;Smilek, Daniel",,,,Springer,2017,,Germany,24,6,1808,1818,,,*Awareness;  *Daydreaming;  *Intention;  *Learning;  *Mind; Mind Wandering,28244016,2017-09522-001,"Seli, Paul: Department of Psychology, Harvard University, William James Hall, 33 Kirkland Street, Cambridge, MA, US, 02138, paulseli@fas.harvard.edu",1531-5320(Electronic);1069-9384(Print),,http://dx.doi.org/10.3758/s13423-017-1249-0
Journal Article,Semantic and visual relatedness of distractors impairs episodic retrieval of pictures in a divided attention paradigm.,"We used a divided attention (DA) paradigm to infer the representational codes needed to support episodic retrieval of pictures, by measuring susceptibility to memory interference from different distracting tasks. Participants made recognition memory decisions to semantically categorized sets of pictures while simultaneously making size judgments to a set of visually-presented distractor pictures. Recognition accuracy was worse and response times were slower under DA conditions relative to full attention (FA), regardless of semantic relatedness of distractors to targets (Experiment 1). Similarly, we found no differential memory interference under DA relative to FA when distractor pictures were either visually (but not semantically), semantically (but not visually), or unrelated to the targets (Experiment 2). In Experiment 3, memory interference was significantly larger under DA at retrieval when distractors were both semantically and visually similar to the targets. Findings suggest episodic memory for pictures requires access to either visually- or semantically-based representations for optimal performance. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Meade, Melissa E.;Fernandes, Myra A.",,,,Taylor & Francis,2017,,United Kingdom,25,8-Jul,825,840,,,*Divided Attention;  *Memory;  *Pictorial Stimuli;  *Semantics; Visual Perception,,2018-04008-010,"Meade, Melissa E.: Department of Psychology, University of Waterloo, 200 University Ave. W., Waterloo, ON, Canada, N2L 3G1, mmeade@uwaterloo.ca",1464-0716(Electronic);1350-6285(Print),,http://dx.doi.org/10.1080/13506285.2017.1344341
Journal Article,What’s that you’re saying? Children with better executive functioning produce and repair communication more effectively.,"Young children often provide ambiguous referential statements. Thus, the ability to identify when miscommunication has occurred and subsequently repair messages is an essential component of communicative development. The present study examined the impact of listener feedback and children’s executive functioning in influencing children’s ability to repair their messages. Children (ages 4–6 years) completed a referential communication task, in which they described target pictures among an array of similar distractors for a confederate. Stimuli were designed such that children frequently provided ambiguous descriptions. Subsequently, the listener provided the children with feedback (detailed or vague) that they misunderstood the statement. Children also completed executive functioning tasks (working memory, inhibitory control, and cognitive flexibility). Children with larger working memory capacities and better cognitive flexibility provided more effective initial descriptions of the targets. Children with better cognitive flexibility were also more effective at repairing their statements in response to feedback. Although children provided more effective repairs following detailed feedback (vs. vague feedback), this effect did not significantly interact with the cognitive skills of children. However, limited evidence emerged suggesting that cognitive flexibility may be more important when the listener provides vague feedback. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Bacso, Sarah A.;Nilsen, Elizabeth S.",,,,Taylor & Francis,2017,,United Kingdom,18,4,441,464,,,*Cognitive Development;  *Short Term Memory;  *Executive Function; Feedback,,2017-43248-003,"Nilsen, Elizabeth S.: University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, enilsen@uwaterloo.ca",1532-7647(Electronic);1524-8372(Print),,http://dx.doi.org/10.1080/15248372.2017.1336438
Journal Article,Scoping review of work disability policies and programs.,"Purpose: This scoping review identifies the foci of research articles that address government laws, policies and programs designed to foster labour market integration of people who, due to illness or disability, face challenges entering or staying in the workforce. Method: A systematic search of English-language peer-reviewed articles published between 2000 and 2014 yielded 14,474 articles. Title and abstract review identified 723 included articles that addressed government-led programs, policy or legislation on work integration and/or income support after injury, illness or impairment. These were sorted by theme, work disability program or policy, disability type, jurisdiction and year published. Results: The number of articles published that address work disability laws, policies and programs increased steadily. Most articles addressed disability in general. Among articles with a specific health focus, mental health was the most common. Research gaps are identified for mixed method study designs, chronic and episodic conditions, illness and cancer, and for work disability policy studies outside of North America, Northern Europe and Australia. Conclusions: We find a growing number of published articles about work disability and policy and identify specific areas where is a need for further research. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","MacEachen, Ellen;Du, Bronson;Bartel, Emma;Ekberg, Kerstin;Tompa, Emile;Kosny, Agnieszka;Petricone, Ivana;Stapleton, Jackie",,,,Cambridge University Press,2017,,United Kingdom,12,,,,,,*Disabilities;  *Policy Making;  *Supported Employment; Vocational Rehabilitation,,2017-27283-001,"MacEachen, Ellen: School of Public Health and Health Systems, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, ellen.maceachen@uwaterloo.ca",1834-4887(Electronic);1833-8550(Print),,http://dx.doi.org/10.1017/idm.2017.1
Journal Article,Susceptibility to cigarette smoking among middle and high school e-cigarette users in Canada.,"There is a growing concern that the historic reductions in tobacco consumption witnessed in the past decades may be undermined by the rapid increase in e-cigarette use. This study examined the association between e-cigarette use and future intention to smoke cigarettes among middle and high school students who had never smoked cigarettes. Data were drawn from the 2014–2015 Canadian Student Tobacco, Alcohol and Drugs Survey (n = 25,637). A multivariable logistic regression model was used to examine the association between e-cigarette use and susceptibility to cigarette smoking. In addition, an inverse probability of treatment weighted regression adjustment method (doubly robust estimator), which models both the susceptibility to smoking and the probability of e-cigarette use, was conducted. About 10% of the students had ever tried an e-cigarette. There were higher rates of ever e-cigarette use among students in grades 10–12 (12.5%) than those in grades 7–9 (7.3%). Students who had ever tried an e-cigarette had higher odds of susceptibility to cigarette smoking (adjusted odds ratio= 2.16, 95% confidence interval = 1.80–2.58) compared to those that had never tried an e-cigarette. Current use of an e-cigarette was associated with higher odds of smoking susceptibility (adjusted odds ratio = 2.02, 95% confidence interval = 1.43–2.84). Similar results were obtained from the doubly robust estimation. Among students who had never smoked cigarettes, e-cigarette use was associated with a higher susceptibility to cigarette smoking. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Azagba, Sunday;Baskerville, Neill Bruce;Foley, Kristie",,,,Elsevier Science,2017,,Netherlands,103,,14,19,,,*Intention;  *Tobacco Smoking;  *Electronic Cigarettes; High School Students; Middle School Students,28735725,2017-39607-004,"Azagba, Sunday: Department of Social Sciences & Health Policy, Wake Forest School of Medicine, Medical Center Boulevard, Winston-Salem, NC, US, 27157, sazagba@wakehealth.edu",1096-0260(Electronic);0091-7435(Print),,http://dx.doi.org/10.1016/j.ypmed.2017.07.017
Journal Article,Explanations for not receiving the seasonal influenza vaccine: An Ontario Canada based survey.,"Despite evidence of the importance of the seasonal influenza vaccine for both individual and population health, only a third of the Ontario population received the vaccine in 2013/2014. The objective of this study was to identify why Ontarians are not getting the seasonal influenza vaccine. Written responses to the question “Why didn’t you get the seasonal flu vaccine in the last flu season?” were deductively analyzed using the Conceptual Model of Vaccine Hesitancy. Inductive coding was also conducted to identify explanations that fall outside of the present model and may be unique to the seasonal influenza vaccine. Data were collected between August and early September, 2014 through a survey in the Region of Waterloo, Ontario. Overall, 91.4% of responses could be explained using the conceptual model and specifically relate to perceived importance of vaccination (46.8%), moral convictions (19.4%), and past experiences with vaccinations services (14.5%). Notably, explanations related to healthcare professional attitudes, risk perceptions and trust, and subjective norms were identified to a much lesser extent than those discussed above. The remaining 8.6% of responses cannot be explained by the model because they do not relate to hesitancy. Our data contribute to the minimal body of Canadian research investigating low uptake of the seasonal flu vaccine, adding to an evidence-base upon which to inform promotional campaigns. Our data also highlight the utility of the Conceptual Model of Vaccine Hesitancy for the design and analysis of research investigating seasonal flu vaccine refusal or delay. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Meyer, Samantha B.;Lum, Rebecca",,,,Taylor & Francis,2017,,United Kingdom,22,6,506,514,,,*Immunization;  *Influenza; Social Norms,28448208,2017-22329-007,"Meyer, Samantha B.: School of Public Health and Health Systems, University of Waterloo, 200 University Ave. West, Waterloo, ON, Canada, N2L 3G1, Samantha.meyer@uwaterloo.ca",1087-0415(Electronic);1081-0730(Print),,http://dx.doi.org/10.1080/10810730.2017.1312720
Journal Article,Family support policies and child outcomes: A realist-scoping review.,"Family support policies (FSP) refer to government policies that promote the well-being of families with children (e.g. job-protected paid leave, cash transfers, childcare). We developed an initial conceptual and theoretical framework of FSP and conducted a realist-scoping review to document the state of evidence regarding the influence of FSP on three child outcomes: poverty, development, and health. Based on the contexts and mechanisms through which FSP are hypothesized to affect child outcomes, we constructed a framework to guide a search of five electronic databases (OVID, ProQuest, PubMed, Scopus, and Web of Knowledge). We analysed articles meeting our inclusion criteria (i.e. conceptualized FSP as a function of the welfare state; conceptualized child poverty, development, and health as outcomes; and conducted empirical analyses) in relation to our mechanisms and thematic concerns (context, developmental periods, and differential impacts). A total of 22 studies met our inclusion criteria, which tested 25 independent child outcomes. Our findings identified initial mechanisms that explain the relationship between FSP and child outcomes through (1) increasing parents’ basic capabilities, (2) shaping parents’ childcare options, and (3) influencing parental leave-taking and shifting beliefs about gender relationships in the home and workplace. Future work will be to test these mechanisms and framework through a realist synthesis. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Ng, Edwin;Julià, Mireia;Muntaner, Carles;O'Campo, Patricia",,,,Taylor & Francis,2017,,United Kingdom,20,3,292,306,,,*Child Welfare;  *Childhood Development;  *Government Policy Making;  *Poverty;  *Social Support; Family; Health,,2017-20403-003,"O'Campo, Patricia: campop@smh.ca",1469-3615(Electronic);1366-8803(Print),,http://dx.doi.org/10.1080/13668803.2016.1262328
Journal Article,How working with a helpful versus less helpful confederate influences joint-action in a pegboard task.,"Actors change their movement strategies to complement a coactor’s movements when performing cooperative tasks. To further investigate this topic, the authors designed a pegboard task whereby a participant-confederate pair worked together to move a peg from one side of the board to the other. The authors examined how the experience of working with a helpful confederate versus less helpful confederate influenced the participant’s movement behavior. Results provide evidence that participants change their movement behaviors in response to the actions of the confederate. Here the human capacity to act in such a manner exemplifies an individual’s ability to utilize his or her own action system to understand others and interact to complete joint action tasks. Individuals appear to adapt their behavior to their experiences, and thus may be helpful in some contexts and less helpful in others. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Scharoun, Sara;Mintz, Adam;Glazebrook, Cheryl M.;Roy, Eric;Gonzalez, Dave",,,,Taylor & Francis,2017,,United Kingdom,49,6,619,628,,,*Cooperation;  *Imitation (Learning);  *Motion Perception;  *Motor Processes; Strategies,28632099,2017-54918-005,"Scharoun, Sara: School of Physical and Health Education, Nipissing University, 100 College Drive, North Bay, ON, Canada, P1B8L7, saras@nipissingu.ca",1940-1027(Electronic);0022-2895(Print),,http://dx.doi.org/10.1080/00222895.2016.1250715
Journal Article,Identity horizons among Finnish postsecondary students: A comparative analysis.,"This article examines the identity horizons of postsecondary students in Finland—a country in which social welfare provisions buffer education-to-work transitions—comparing their identity horizons to those previously reported for U.S. and Japanese students. Confirmatory factor analyses revealed scalar invariance of the Finnish version of the Identity Horizons Scales with the English and Japanese versions. Latent mean comparisons found that Finnish students had the broadest educational and work horizons, and the lowest education-to-work identity anxiety. Finnish men reported lower levels of educational horizons and higher levels of identity anxiety than Finnish women, replicating previous findings. Social class differences were also detected, with higher levels of identity anxiety and narrower educational horizons among those whose parents had no postsecondary education. Based on the apparent impacts on identity development of the different educational policies in the three countries, results are discussed in terms of policy implications supporting more effective education- to-work transitions. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Helve, Helena;Côté, James E.;Svynarenko, Arseniy;Sinisalo-Juha, Eeva;Mizokami, Shinichi;Roberts, Sharon E.;Nakama, Reiko",,,,Taylor & Francis,2017,,United Kingdom,17,3,191,206,,,*Cross Cultural Differences;  *Educational Attainment Level;  *Identity Formation;  *Occupational Mobility;  *Students; Anxiety,,2017-33499-006,"Côté, James E.: Department of Sociology, University of Western Ontario, 1151 Richmond Street, London, ON, Canada, N6A 5C2, cote@uwo.ca",1532-706X(Electronic);1528-3488(Print),,http://dx.doi.org/10.1080/15283488.2017.1340164
Journal Article,Antipsychotic use in dementia: Is there a problem and are there solutions?,"Antipsychotics are necessary for many older adults to treat major mental illnesses or reduce distressing psychiatric symptoms. Current controversy exists over the role of antipsychotics in the management of neuropsychiatric symptoms (NPS) in persons with dementia. Although some NPS may be appropriately and safely treated with antipsychotics, a fine balance must be achieved between the benefits of these medications, which are often modest, and adverse events, which may have significant consequences. Approximately one-third of all persons with dementia are currently prescribed antipsychotic medications, and there is significant variation in the use of antipsychotics across care settings and providers. Reducing the inappropriate or unnecessary use of antipsychotics among persons with dementia has been the focus of increasing attention owing to better awareness of the potential problems associated with these medications. Several approaches can be used to curb the use of antipsychotics among persons with dementia, including policy or regulatory changes, public reporting, and educational outreach. Recently, there has been encouraging evidence of a downward trend in the use of antipsychotics in many long-term care settings, although prescribing rates are still higher than what is likely optimal. Although reducing the inappropriate use of antipsychotics is a complex task, psychiatrists can play an important role via the provision of clinical care and research evidence, contributing to improved care of persons with dementia in Canada and elsewhere. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Kirkham, Julia;Sherman, Chelsea;Velkers, Clive;Maxwell, Colleen;Gill, Sudeep;Rochon, Paula;Seitz, Dallas",,,,Sage Publications,2017,,US,62,3,170,181,,,*Dementia;  *Neuroleptic Drugs; Psychiatry,28212496,2017-08082-003,"Seitz, Dallas: Providence Care–Mental Health Services, 752 King St. West, Kingston, ON, Canada, K7L 4X3, seitzd@providencecare.ca",1497-0015(Electronic);0706-7437(Print),,http://dx.doi.org/10.1177/0706743716673321
Journal Article,A model for (re)building consumer trust in the food system.,"The article presents a best practice model that can be utilized by food system actors to assist with (re) building trust in the food system, before, during and after a food incident defined as ‘any situation within the food supply chain where there is a risk or potential risk of illness or confirmed illness or injury associated with the consumption of a food or foods’ (Commonwealth of Australia. National Food Incident Response Protocol. Commonwealth of Australia, Canberra, 2012). Interviews were undertaken with 105 actors working within the media, food industry and food regulatory settings across Australia, New Zealand (NZ) and the United Kingdom (UK). Interview data produced strategy statements, which indicated participant views on how to (re)build consumer trust in the food system. These included: (i) be transparent, (ii) have protocols and procedures in place, (iii) be credible, (iv) be proactive, (v) put consumers first, (vi) collaborate with stakeholders, (vii) be consistent, (viii) educate stakeholders and consumers, (ix) build your reputation and (x) keep your promises. A survey was designed to enable participants to indicate their agreement/disagreement with the ideas, rate their importance and provide further comment. The five strategies considered key to (re)building consumer trust were used to develop a model demonstrating best practice strategies for (re)building consumer trust in the food system before, during and after a food incident. In a world where the food system is increasingly complex, strategies for (re)building and fostering consumer trust are important. This study offers a model to do so which is derived from the views and experiences of actors working across the food industry, food regulation and the media. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Wilson, Annabelle M.;Withall, Elizabeth;Coveney, John;Meyer, Samantha B.;Henderson, Julie;McCullum, Dean;Webb, Trevor;Ward, Paul R.",,,,Oxford University Press,2017,,United Kingdom,32,6,988,1000,,,*Consumer Behavior;  *Food; Mass Media; Best Practices,27073107,2018-02911-007,"Wilson, Annabelle M.: annabelle.wilson@flinders.edu.au",1460-2245(Electronic);0957-4824(Print),,http://dx.doi.org/10.1093/heapro/daw024
